run,max_correlation,lag
1,144.35445879448972,2
2,180.66538103698312,2
3,170.78580919225763,1
4,178.95597234543257,1
5,154.7139132387481,13
6,168.9029853668184,12
7,163.0137051427748,1
8,165.91601848256406,13
9,187.74408864785136,1
10,152.26654299871197,-9
