run,max_correlation,lag
1,307.895561678266,1
2,332.06550527657384,1
3,236.55593735663584,1
4,287.2829741931746,1
5,306.03039720869646,1
6,268.265877528437,1
7,258.27659589738096,1
8,187.03654447273533,1
9,287.3770302163698,1
10,186.6534270687038,1
